location,percentage_delayed,warehouse_status
"Bhadra, Bhadra, RAJASTHAN",0.00,Ignore
Bhadrachalam,0.00,Ignore
"BHADRACHALAM REACH",0.00,Ignore
"Bhadrai Krupa store MANAVADAR",0.00,Ignore
BHADRAK,0.00,Ignore
"BHADRAK OFFICE",0.00,Ignore
"BHADRAK, BHADRAK, ORISSA",0.00,Ignore
BhadrakHub_BHC,0.00,Ignore
"BhadrakHub_BHC Bhadrak",0.00,Ignore
BHADRAVATHI,0.00,Ignore
"Bhadravati, Karnataka, IN",0.00,Ignore
"BhadravatiMDH_BHA Bhadr",0.00,Ignore
BHADRAWATI,0.00,Ignore
"Bhadreswar, Bhadreswar, WEST BENGAL",0.00,Ignore
"BHAGA BAZAR",0.00,Ignore
"Bhagabanpur, Bhagabanpur, WEST BENGAL",0.00,Ignore
Bhagalpur,0.00,Ignore
"Bhagalpur Hub",0.00,Ignore
"Bhagalpur Hub Bhagalpur",0.00,Ignore
"BHAGALPUR OFFICE",0.00,Ignore
"BHAGALPUR, Bhagalpur, BIHAR",0.00,Ignore
"BHAI JAAN ELECTRICALS NEW DELHI",0.00,Ignore
"Bhajan ram PATIALA",0.00,Ignore
"BHAKARAPET, ROMPICHARLA, ANDHRA PRADESH",0.00,Ignore
"Bhalki, BHALKI, KARNATAKA",0.00,Ignore
Bhalukpong,0.00,Ignore
"BhalukpongMDH_BKP Bhalukpong",0.00,Ignore
BHANDARA,0.00,Ignore
"Bhandara, Bhandara, MAHARASHTRA",0.00,Ignore
"Bhandara, Maharashtra, IN",0.00,Ignore
BhandaraHub_BHR,0.00,Ignore
"BhandaraHub_BHR Bhandara",0.00,Ignore
BHANDUP,0.00,Ignore
"BHANDUP HUB",0.00,Ignore
BhandupHub_MUM,0.00,Ignore
"BhandupHub_MUM Mumbai",0.00,Ignore
"BHANGAR OFFICE",0.00,Ignore
"Bhangar, Bhangar, WEST BENGAL",0.00,Ignore
"Bhaniawala, Doiwala, UTTARAKHAND",0.00,Ignore
"Bhanjanagar, Bhanjanagar, ORISSA",0.00,Ignore
"BhanjanagarODH_BJN Buguda",0.00,Ignore
BhankrotaHub_JAI,0.00,Ignore
"BhankrotaHub_JAI Jaipur",0.00,Ignore
"Bhanpura, Bhanpura, MADHYA PRADESH",0.00,Ignore
"Bharat kirana store GURGAON",0.00,Ignore
"Bharat Resto Cafe DEHRADUN",0.00,Ignore
BHARATPUR,0.00,Ignore
"Bharatpur, Bharatpur, RAJASTHAN",0.00,Ignore
"BharatpurHub_BTP Bharatpur",0.00,Ignore
"BharauliMDH_MOH Ballia",0.00,Ignore
"Bharti Electric shop NEW DELHI",0.00,Ignore
"Bharti narvariya GWALIOR",0.00,Ignore
Bharuch,0.00,Ignore
"BHARUCH E TAIL",0.00,Important
"Bharuch Hub",0.00,Ignore
"Bharuch Hub Bharuch",0.00,Ignore
"BHARUCH OFFICE",0.00,Ignore
"BHARUCH, Bharuch, GUJARAT",0.00,Ignore
"BHARUCH, GUJARAT, IN",0.00,Ignore
Bhatapara,0.00,Ignore
"Bhatapura, Bhatapura, CHHATTISGARH",0.00,Ignore
"Bhatar, Bhatar, WEST BENGAL",0.00,Ignore
Bhatinda,0.00,Ignore
"BHATINDA AIR HUB",0.00,Ignore
"Bhatinda Hub",0.00,Ignore
"Bhatinda Hub Bhatinda",0.00,Ignore
"BHATINDA SERVICE CENTRE",0.00,Ignore
"Bhatindahubtemp_bup Bhatinda",0.00,Ignore
BHATKAL,0.00,Ignore
"Bhatkal, Bhatkal, KARNATAKA",0.00,Ignore
"BHATKAL, KARNATAKA, IN",0.00,Ignore
"BhatkalHub_BKL Bhatkal",0.00,Ignore
Bhattiprolu,0.00,Ignore
BhattiproluHub_BTP,0.00,Ignore
"BhattiproluHub_BTP Bhattiprolu",0.00,Ignore
BHAVINI,0.00,Ignore
Bhavnagar,0.00,Ignore
"Bhavnagar, BHAVNAGAR, GUJARAT",0.00,Ignore
"Bhavnagar, Gujarat, IN",0.00,Ignore
BhavnagarHub,0.00,Ignore
"BhavnagarHub Bhavnagar",0.00,Ignore
Bhawaigarh,0.00,Ignore
"Bhawanimandi, RAMGANJ MANDI, RAJASTHAN",0.00,Ignore
Bhawanipatna,0.00,Ignore
"Bhawanipatna, Bhawanipatna, ORISSA",0.00,Ignore
"Bhawanipur Hub",0.00,Ignore
"Bhawanipur Hub Kolkata",0.00,Ignore
BhawanipurSplitODH_KOL,0.00,Ignore
"BhawanipurSplitODH_KOL Kolkata",0.00,Ignore
BHAYANDER,0.00,Ignore
"BheemanadyMDH_BMY Nileshwar",0.00,Ignore
"BHELLA, Bhella, ASSAM",0.00,Ignore
"BHI/RTO, Bhiwandi, MAHARASHTRA",0.00,Ignore
BHILAI,0.00,Ignore
"Bhilai Hub Bhilai",0.00,Ignore
"BHILAI, CHHATTISGARH, IN",0.00,Ignore
"BhilaiSplitODH_BIA Bhilai",0.00,Ignore
"Bhiloli, Bhiloli, MAHARASHTRA",0.00,Ignore
"Bhilwara Hub Bhilwara",0.00,Ignore
"Bhilwara, Bhilwara, RAJASTHAN",0.00,Ignore
"Bhilwara, Rajasthan, IN",0.00,Ignore
"Bhima store BANGALORE",0.00,Ignore
bhimadole,0.00,Ignore
"Bhimavaram, Bhimavaram, ANDHRA PRADESH",0.00,Ignore
"BhimavaramHub_BVM Bhimavaram",0.00,Ignore
"BHIMTAAL, UTTARAKHAND, IN",0.00,Ignore
BHIND,0.00,Ignore
"Bhind, BHIND, MADHYA PRADESH",0.00,Ignore
BhindHub_BND,0.00,Ignore
"BhindHub_BND Bhind",0.00,Ignore
"Bhingar, Bhingar, MAHARASHTRA",0.00,Ignore
"Bhinmal, Bhinmal, RAJASTHAN",0.00,Ignore
"Bhitarwar, Dabra, MADHYA PRADESH",0.00,Ignore
Bhiwadi,0.00,Ignore
"BHIWADI - BHD",0.00,Ignore
"BHIWADI, BHIWADI, RAJASTHAN",0.00,Ignore
"Bhiwadi, Rajasthan, IN",0.00,Ignore
"BhiwadiHub_DHR Bhiwadi",0.00,Ignore
BHIWANDI,0.00,Ignore
"BHIWANDI FORWARD E-TAIL",0.00,Ignore
"Bhiwandi Hub Bhiwandi",0.00,Ignore
"Bhiwandi, Bhiwandi, MAHARASHTRA",0.00,Important
BHIWANI,0.00,Ignore
"Bhiwani Hub",0.00,Ignore
"Bhiwani Hub Bhiwani",0.00,Ignore
"BHIWANI, Bhiwani, HARYANA",0.00,Ignore
"BHO/ASK, Bhopal, MADHYA PRADESH",0.00,Ignore
"BHO/BHO, Bhopal, MADHYA PRADESH",0.00,Ignore
"BHO/KLR, Bhopal, MADHYA PRADESH",0.00,Ignore
"BHO/SA-NMB, Bhopal, MADHYA PRADESH",0.00,Ignore
"Bhogipura, Bareilly, UTTAR PRADESH",0.00,Ignore
"Bhogpur, Bhogpur, PUNJAB",0.00,Ignore
Bhokar,0.00,Ignore
Bhokardan,0.00,Ignore
"BhokardanHub_BHK Bhokardan",0.00,Ignore
"Bhola nath MIRZAPUR",0.00,Ignore
"Bhola store NEW DELHI",0.00,Ignore
BHONGIR,0.00,Ignore
"BHONGIR, TELANGANA, IN",0.00,Ignore
"BhongirHub_BNG Bhongir",0.00,Ignore
Bhopal,0.00,Ignore
"BHOPAL - BPA",0.00,Ignore
"BHOPAL (BHPL)",0.00,Ignore
"BHOPAL AIR HUB",0.00,Ignore
"BHOPAL COD CENTRE",0.00,Ignore
"BHOPAL WAREHOUSE",0.00,Ignore
"BHOPAL, MADHYA PRADESH, IN",0.00,Ignore
"Bhosari Hub",0.00,Ignore
"Bhosari Hub Pune",0.00,Ignore
"BHOWANIPORE BDEL",0.00,Ignore
BHOWANIPUR,0.00,Important
Bhuban,0.00,Ignore
"Bhuban, BHUBAN, ORISSA",0.00,Ignore
Bhubaneshwar,0.00,Ignore
BHUBANESWAR,0.00,Ignore
"BHUBANESWAR  PUD (BBNE)",0.00,Ignore
"BHUBANESWAR - BBN",0.00,Ignore
"BHUBANESWAR HUB (BBIW)",0.00,Ignore
"BHUBANESWAR, ODISHA, IN",0.00,Ignore
"Bhubaneswar, Orissa, IN",0.00,Ignore
BhubaneswarHub_BBI,0.00,Ignore
"BhubaneswarHub_BBI Bhubaneswar",0.00,Ignore
"BHUJ EXPANSION",0.00,Ignore
"BhujHub_BHJ Bhuj",0.00,Ignore
"Bhular cosmetic shop MOHALI",0.00,Ignore
"Bhuna, Bhuna, HARYANA",0.00,Ignore
"BHUPALAPALLI REACH",0.00,Ignore
"BhupalpallyHub_BPL Bupalpally",0.00,Ignore
"Bhupesh store NEW DELHI",0.00,Ignore
BHUSAWAL,0.00,Ignore
"BhusawalHub_JGO Jalgaon",0.00,Ignore
BIAORA,0.00,Ignore
"Biaora1, Biaora, MADHYA PRADESH",0.00,Ignore
"Bicholim Goa, Bicholim, GOA",0.00,Ignore
"BICHOLIM, GOA, IN",0.00,Ignore
BIDADI,0.00,Ignore
BidadiHub_BID,0.00,Ignore
BIDAR,0.00,Ignore
"BIDAR, Karnataka, IN",0.00,Ignore
"Bidar3, Bidar, KARNATAKA",0.00,Ignore
BidarFortHub_BDR,0.00,Ignore
BidhunaHub_ARY,0.00,Ignore
"Bihar Sharif",0.00,Ignore
"BiharSharif, BiharSharif, BIHAR",0.00,Ignore
"BiharSharifHub_BSF Bihar Sharif",0.00,Ignore
"BIHIYA OFFICE",0.00,Ignore
"BIHTA OFFICE",0.00,Ignore
"Bihta, Bihta, BIHAR",0.00,Ignore
Bijanbari,0.00,Ignore
"BijanbariMDH_BJN Bijanbari",0.00,Ignore
Bijapur,0.00,Ignore
"Bijapur CG, Bijapur CG, CHHATTISGARH",0.00,Ignore
"Bijapur, Karanataka, IN",0.00,Ignore
"BijapursplitHub_BJR Bijapur",0.00,Ignore
"Bijbehara, Awantipur, JAMMU AND KASHMIR",0.00,Ignore
Bijnor,0.00,Ignore
"Bijnor1, Bijnor, UTTAR PRADESH",0.00,Ignore
BIJNORE,0.00,Ignore
BijwasanHub_DEL,0.00,Ignore
"BijwasanHub_DEL New Delhi",0.00,Ignore
"Bikaner Hub Bikaner",0.00,Ignore
"Bikaner, Bikaner, RAJASTHAN",0.00,Ignore
"BIKANER, RAJASTHAN, IN",0.00,Ignore
"Bikapur, Bikapur, UTTAR PRADESH",0.00,Ignore
"Bikram Khosla DAMANJODI",0.00,Ignore
"BIKRAM STORE KRISHNAGAR",0.00,Ignore
"BIKRAMGANJ OFFICE",0.00,Ignore
BILARA,0.00,Ignore
"Bilara, Bilara, RAJASTHAN",0.00,Ignore
"Bilashipara, Bilashipara, ASSAM",0.00,Ignore
"Bilaspur HP, Bilaspur HP, HIMACHAL PRADESH",0.00,Ignore
"BILASPUR MINI HUB (A",0.00,Important
"BILASPUR PUD",0.00,Ignore
"Bilaspur, Chhattisgarh, IN",0.00,Ignore
"BILASPUR, HIMACHAL PRADESH, IN",0.00,Ignore
"BilaspurHPHub_BUR Bilaspur",0.00,Ignore
"BilaspurHub_BLS BILASPUR",0.00,Ignore
"BilekaHalli Hub",0.00,Ignore
"BilekaHalli Hub Bengaluru",0.00,Ignore
"Bilgram, BILGRAM, UTTAR PRADESH",0.00,Ignore
"Bilhaur, BILHAUR, UTTAR PRADESH",0.00,Ignore
"Bilimora, Bilimora, GUJARAT",0.00,Ignore
BILLGI,0.00,Ignore
BILLIMORA,0.00,Ignore
BINA,0.00,Ignore
"Bina, Bina, MADHYA PRADESH",0.00,Ignore
"Bindki, BINDKI, UTTAR PRADESH",0.00,Ignore
"BINOLA INDUSTRIAL AREA, HARYANA, IN",0.00,Ignore
Birbhum,0.00,Ignore
BIRPARA,0.00,Ignore
"Birpara, Birpara, WEST BENGAL",0.00,Ignore
BirpurMDH_SOU,0.00,Ignore
"BirpurMDH_SOU Forbisganj",0.00,Ignore
"BirsaMDH_BIR Birsra",0.00,Ignore
"Birshingpur, BIRSHINGHPUR, MADHYA PRADESH",0.00,Ignore
Birsra,0.00,Ignore
"BISHALGARH, Bishalgarh, TRIPURA",0.00,Ignore
BISHNUPUR,0.00,Ignore
Bishrampur,0.00,Ignore
"Bissau, Bissau, RAJASTHAN",0.00,Ignore
"Biswanath House KRISHNAGAR",0.00,Ignore
"BIVIN S HME RFK TRIVANDRUM",0.00,Ignore
"BiwiNagar Hub",0.00,Ignore
"BiwiNagar Hub Nellore",0.00,Ignore
"BKC Hub",0.00,Ignore
"BKC Hub Mumbai",0.00,Ignore
"BLI/Ballia, Ballia, UTTAR PRADESH",0.00,Ignore
"BLR ETAIL PROCESSING UNIT",0.00,Ignore
"BLR/APT, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/AVA-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/BLD-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/BMN-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/BRY-EHV, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/BRY-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/CCH-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/CRM-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/CRP-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/CSN-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/ECY-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/HSKT-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/HSR-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/INR-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/JBB-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/JGI-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/JPN-EHV, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/JYM-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/KMG-EHV, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/KMP-EHV, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/KRG-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/KRP-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/KYN-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/MCL-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/MLP-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/MMD-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/NKH-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/PEN-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/RRN-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/SA-ATBLE, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/SA-BOMM, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/SA-BSK, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/SA-KGP, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/SKL-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/SKY-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/SPA-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/SRM-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/TKR-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/UTR-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/VAR-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/VKS-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/WHF-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLR/YLK-TML, BANGALORE, KARNATAKA",0.00,Ignore
"BLUE DART CENTRE",0.00,Ignore
Bobbili,0.00,Ignore
"BobbiliHub_BBL Bobbili",0.00,Ignore
Bodarwar,0.00,Ignore
"BodarwarMDH_BBW Bodarwar",0.00,Ignore
Boden,0.00,Ignore
"BodenMDH_NUA Boden",0.00,Ignore
bodhan,0.00,Ignore
"BODHAN REACH",0.00,Ignore
"Bodhan1, Bodhan, TELANGANA",0.00,Ignore
"BodhanHub_BDN bodhan",0.00,Ignore
"Bodinayakanur, Bodinayakanur, TAMIL NADU",0.00,Ignore
BODUPPAL,0.00,Ignore
BoindaHub_ANG,0.00,Ignore
Boisar,0.00,Ignore
BoisarHub_BIS,0.00,Ignore
"Boita, BAITA BAZAR, WEST BENGAL",0.00,Ignore
BOKAJAN,0.00,Ignore
"BOKAJAN, BOKAJAN, ASSAM",0.00,Ignore
BokajanHub_SZR,0.00,Ignore
Bokakhat,0.00,Ignore
"BOKAKHAT OFFICE",0.00,Ignore
BOKARO,0.00,Ignore
"BOKARO THARMAL",0.00,Ignore
"BokaroHub_BKO Bokaro",0.00,Ignore
"BokarothermalODH_BKR Bokaro",0.00,Ignore
"Bokchora, Bokchora, WEST BENGAL",0.00,Ignore
"Bolagarhhub_NYG Puri",0.00,Ignore
Bolangir,0.00,Ignore
BolangirHub_BLG,0.00,Ignore
"BolangirHub_BLG Bolangir",0.00,Ignore
BOLPUR,0.00,Ignore
BOM,0.00,Ignore
"BOM/BDP-EHV, Mumbai, MAHARASHTRA",0.00,Ignore
"BOM/BDP-TML, Mumbai, MAHARASHTRA",0.00,Important
"BOM/BDP-VEHV, Thane, MAHARASHTRA",0.00,Ignore
"BOM/CHB-EHV, Mumbai, MAHARASHTRA",0.00,Ignore
"BOM/CHB-TML, Mumbai, MAHARASHTRA",0.00,Ignore
"BOM/DONGRI-TML, Mumbai, MAHARASHTRA",0.00,Ignore
"BOM/DSR-EHV, Mumbai, MAHARASHTRA",0.00,Ignore
"BOM/DSR, Mumbai, MAHARASHTRA",0.00,Ignore
"BOM/FRT, Mumbai, MAHARASHTRA",0.00,Ignore
"BOM/KND-TML, Mumbai, MAHARASHTRA",0.00,Ignore
"BOM/KND, Mumbai, MAHARASHTRA",0.00,Ignore
"BOM/MAZ, Mumbai, MAHARASHTRA",0.00,Ignore
"BOM/RVP, Mumbai, MAHARASHTRA",0.00,Ignore
"BOM/SA-MIR, Mumbai, MAHARASHTRA",0.00,Ignore
"BOM/SA-Wadala, Mumbai, MAHARASHTRA",0.00,Ignore
"BOM/VIKHROLI-TML, Mumbai, MAHARASHTRA",0.00,Ignore
"BOM/WRL, Mumbai, MAHARASHTRA",0.00,Ignore
"Bomdila, Bomdila, ARUNACHAL PRADESH",0.00,Ignore
bonaigarh,0.00,Ignore
Bongaigaon,0.00,Ignore
"BONGAIGAON OFFICE",0.00,Ignore
"Bongaigaon, Bongaigaon, ASSAM",0.00,Ignore
"BongaigaonHub_BGG Bongaigaon",0.00,Ignore
Bongaon,0.00,Ignore
"BONGAON, BONGAON, WEST BENGAL",0.00,Ignore
"BonguluruJunctionHub_HYD Hyderabad",0.00,Ignore
"Bonthu Satyanarayana EAST GODAVARI",0.00,Ignore
BopalHub_AMD,0.00,Ignore
"BopalHub_AMD Ahmedabad",0.00,Ignore
"Boranada, Boranada, RAJASTHAN",0.00,Ignore
"BORDIWALA HOUSE BHARUCH",0.00,Ignore
BORIVALI,0.00,Ignore
BoriviliHub_MUM,0.00,Ignore
"BoriviliHub_MUM Mumbai",0.00,Ignore
"Borkheda, Kota, RAJASTHAN",0.00,Ignore
BORSAD,0.00,Ignore
"BORSAD, GUJARAT, IN",0.00,Ignore
BOSM,0.00,Ignore
"BOSS MOBILES PONDICHERRY",0.00,Ignore
BOTAD,0.00,Ignore
"Botad, Botad, GUJARAT",0.00,Ignore
"BOUDH OFFICE",0.00,Ignore
"Boudh, Boudh, ORISSA",0.00,Ignore
BOWENPALLY,0.00,Ignore
"Braazo_148030_Chajli LEHRAGAGA",0.00,Ignore
"Brahmagiri, Brahmagiri, ORISSA",0.00,Ignore
BrahmapurMDH_KOL,0.00,Ignore
"BrahmapurMDH_KOL Kolkata",0.00,Ignore
Brahmavar,0.00,Ignore
"BrahmavarHub_BMR Brahmavar",0.00,Ignore
Brahmbad,0.00,Ignore
"BRAJABANDHU PRADHAN BALASORE",0.00,Ignore
"BRAJRAJ NAGAR",0.00,Ignore
bramhapuri,0.00,Ignore
"BRIJESH KUMAR PANDEY NEW DELHI",0.00,Ignore
Brijmanganj,0.00,Ignore
"BrijmanganjMDH_BRI Brijmanganj",0.00,Ignore
BritaniaHub_DEL,0.00,Ignore
"BritaniaHub_DEL Delhi",0.00,Ignore
"BRRAZO EXPRESS JUNAGADH",0.00,Ignore
"BSD GOOS CARRIER GURGAON",0.00,Ignore
"BST/HBR-TML, Barasat, WEST BENGAL",0.00,Ignore
"BTPS, Bokaro, JHARKHAND",0.00,Ignore
"Budanpur Ambedkar Nagar",0.00,Ignore
"Budaun, Uttar Pradesh, IN",0.00,Ignore
"Budbud1, Budbud, WEST BENGAL",0.00,Ignore
"Budbuda, BUDBUDA, MADHYA PRADESH",0.00,Ignore
"BUDGAM, JAMMU AND KASHMIR, IN",0.00,Ignore
"Budge Budge",0.00,Ignore
"BUDH VIHAR ETAIL DELIVERY",0.00,Ignore
BudhViharHub_DEL,0.00,Ignore
"BudhViharHub_DEL Delhi",0.00,Ignore
Buguda,0.00,Ignore
"BugudaHub_GAM Buguda",0.00,Ignore
"Buhana, Buhana, RAJASTHAN",0.00,Ignore
BULANDSHAHAR,0.00,Ignore
Bulandshahr,0.00,Ignore
"BulandshahrHub_BUR Bulandshahr",0.00,Ignore
Buldhana,0.00,Ignore
"Buldhana, Buldhana, MAHARASHTRA",0.00,Ignore
BuldhanaHub_BLD,0.00,Ignore
"BuldhanaHub_BLD Buldhana",0.00,Ignore
"Bundihub_BUI bundi",0.00,Ignore
Bupalpally,0.00,Ignore
BurariHub_DEL,0.00,Ignore
"BurariHub_DEL Delhi",0.00,Ignore
Burdwan,0.00,Ignore
"BURDWAN BDEL",0.00,Ignore
"BURDWAN TRANSIT HUB",0.00,Ignore
"Burdwan1, Burdwan, WEST BENGAL",0.00,Ignore
BURHANPUR,0.00,Ignore
"Burhanpur UP, Burhanpur UP, UTTAR PRADESH",0.00,Ignore
"Burhanpur, Burhanpur, MADHYA PRADESH",0.00,Ignore
BurhanpurHub_BRN,0.00,Ignore
Burhar,0.00,Ignore
"Burhar, Shahdol, MADHYA PRADESH",0.00,Ignore
BurharHub_BRH,0.00,Ignore
BURWAN,0.00,Ignore
Butibori,0.00,Ignore
"ButiboriHub_BTB Butibori",0.00,Ignore
Buxar,0.00,Ignore
"BUXAR OFFICE",0.00,Ignore
"BUXAR, BIHAR, IN",0.00,Ignore
BuxarHub_BXR,0.00,Ignore
"BuxarHub_BXR Buxar",0.00,Ignore
ByatarayanapuraHub_BLR,0.00,Ignore
"ByatarayanapuraHub_BLR Bengaluru",0.00,Ignore
"Byndoor, BYNDOOR, KARNATAKA",0.00,Ignore
"ByndoorHub_BYN 0",0.00,Ignore
"C D SONUDAS HOME THRISSUR",0.00,Ignore
"C H Store ANAND",0.00,Ignore
CABTAgartalaODH_IXA,0.00,Ignore
"CABTBallarpurODH_BLP Chandrapur",0.00,Ignore
"CABTBandaODH_BND BANDA",0.00,Ignore
"CABTBangchatraODH_BAN Coochbehar",0.00,Ignore
"CABTBelacobaODH_JPG Alipurduar",0.00,Ignore
CABTBerhampurODH_BMP,0.00,Ignore
"CABTBerhampurODH_BMP Berhampur",0.00,Ignore
"CABTBerhampurSplitODH_BMP BERHAMPUR",0.00,Ignore
"CABTBokaroODH_BKO Bokaro",0.00,Ignore
"CABTCoochbeharODH_COB Dinhata",0.00,Ignore
CABTCoochbeharSplitODH_COB,0.00,Ignore
"CABTCoochbeharSplitODH_COB Mathabhanga",0.00,Ignore
CABTDayalnagarODH_DAY,0.00,Ignore
"CABTDayalnagarODH_DAY Visakhapatnam",0.00,Ignore
"CABTDehriOnSoneSplitODH_DOS Dehri",0.00,Ignore
"CABTDeulgaonRajaODH_DGR Deulgaon Raja",0.00,Ignore
CABTGarhakotaODH_GRH,0.00,Ignore
CABTGariahatODH_KOL,0.00,Ignore
"CABTGariahatODH_KOL KOLKATA",0.00,Ignore
CABTGautamnagarODH_BBI,0.00,Ignore
"CABTGautamnagarODH_BBI Bhubaneswar",0.00,Ignore
"CABTGorantlaODH_GRL anantapur",0.00,Ignore
"CABTHaldibariODH_HAL Jalpaiguri",0.00,Ignore
CABTHaridwarSplitODH_HRD,0.00,Ignore
"CABTInkolluODH_INK prakasam",0.00,Ignore
"CABTJagadhriODH_JAG JAGADHRI",0.00,Ignore
"CABTJaoraODH_JRA Jaora",0.00,Ignore
CABTKalaAmbODH_KAL,0.00,Ignore
"CABTKalaAmbODH_KAL SIRMAUR",0.00,Ignore
CABTKhurdaODH_KUD,0.00,Ignore
"CABTKhurdaODH_KUD Khurda",0.00,Ignore
CABTKonduruODH_KND,0.00,Ignore
"CABTKonduruODH_KND krishna",0.00,Ignore
"CABTLaharODH_LHR LAHAR",0.00,Ignore
"CABTLalganjODH_LAL LALGANJ",0.00,Ignore
"CABTMadhubaniSplitODH_MBI Madhubani",0.00,Ignore
CABTMaidanODH_KOL,0.00,Ignore
"CABTMaidanODH_KOL HOWRAH",0.00,Ignore
"CABTMainpuriODH_MNP Mainpuri",0.00,Ignore
"CABTMankunduODH_MNK Chandannagar",0.00,Ignore
"CABTMauganjODH_MGJ Mauganj",0.00,Ignore
"CABTMurshidabadODH_MBB Murshidabad",0.00,Ignore
CABTNabarangpurODH_NRG,0.00,Ignore
"CABTNasrullaganjODH_NSR Nasrullaganj",0.00,Ignore
"CABTNowgangODH_NWG Chhatarpur",0.00,Ignore
CABTRajuraODH_RJR,0.00,Ignore
"CABTRajuraODH_RJR Chandrapur",0.00,Ignore
"CABTRamtekODH_RMT Ramtek",0.00,Ignore
CABTSachinODH_SAC,0.00,Ignore
"CABTSachinODH_SAC SURAT",0.00,Ignore
CABTSahbajpurODH_DRA,0.00,Ignore
"CABTSahbajpurODH_DRA Deoria",0.00,Ignore
CABTSamroliChikhliODH_CHK,0.00,Ignore
"CABTSamroliChikhliODH_CHK Chikhli",0.00,Ignore
CABTSantoshpurODH_KOL,0.00,Ignore
"CABTSantoshpurODH_KOL Kolkata",0.00,Ignore
"CABTSaranSplitODH_CPR2 Saran",0.00,Ignore
"CABTSavnerODH_SVR SAVNER",0.00,Ignore
CABTSeluODH_SLU,0.00,Ignore
"CABTSeluODH_SLU SELU",0.00,Ignore
CABTShillongODH_SHL,0.00,Ignore
"CABTShillongODH_SHL Shillong",0.00,Ignore
CABTSibpurODH_Kol,0.00,Ignore
"CABTSibpurODH_Kol Howrah",0.00,Ignore
"CABTSongadhODH_SDH SONGADH",0.00,Ignore
"CABTSosyoCircleODH_STV Surat",0.00,Ignore
CABTVisakhavalleySplitODH_VTZ,0.00,Ignore
"CABTVisakhavalleySplitODH_VTZ Visakhapatnam",0.00,Ignore
CABTVittlaMDH_VIT,0.00,Ignore
"CABTVittlaMDH_VIT Vittla",0.00,Ignore
"CALICUT APX/SFC PUD CENTR",0.00,Ignore
"CALICUT MINI HUB",0.00,Ignore
"CALICUT, Calicut, KERALA",0.00,Ignore
CalicutHub,0.00,Ignore
"CalicutHub Calicut",0.00,Ignore
Canacona,0.00,Ignore
"Canacona Hub Canacona",0.00,Ignore
CANNING,0.00,Ignore
CanttAmbalaHub_UMB,0.00,Ignore
"CanttAmbalaHub_UMB Ambala",0.00,Ignore
"CAR/HUB, Chandigarh, CHANDIGARH",0.00,Ignore
"CAR/KJR, Chandigarh, CHANDIGARH",0.00,Ignore
"CAR/RTO, AMBALA, HARYANA",0.00,Ignore
"CCU/BALLYGUNGE-TML, Kolkata, WEST BENGAL",0.00,Ignore
"CCU/BLA, Kolkata, WEST BENGAL",0.00,Ignore
"CCU/DDM, Kolkata, WEST BENGAL",0.00,Ignore
"CCU/DLP, Kolkata, WEST BENGAL",0.00,Ignore
